encoded_value,state_name
0,Andaman And Nicobar Islands
1,Andhra Pradesh
2,Arunachal Pradesh
3,Assam
4,Bihar
5,Chandigarh
6,Chhattisgarh
7,Delhi
8,Goa
9,Gujarat
10,Haryana
11,Himachal Pradesh
12,Jammu And Kashmir
13,Jharkhand
14,Karnataka
15,Kerala
33,Ladakh
34,Lakshadweep
16,Madhya Pradesh
17,Maharashtra
18,Manipur
19,Meghalaya
20,Mizoram
32,Nagaland
21,Odisha
22,Puducherry
23,Punjab
24,Rajasthan
25,Sikkim
26,Tamil Nadu
27,Telanganas
44,The Dadra And Nagar Haveli And Daman And Diu
28,Tripura
29,Uttar Pradesh
30,Uttarakhand
31,West Bengal
